Date,County,Duration,AcresBurned
2017-05,Fresno,227.0,16.0
2017-05,Riverside,227.0,48.0
2017-05,Calaveras,227.0,15.0
2017-05,Fresno,227.0,18.0
2017-05,San Bernardino,226.0,16.0
2017-05,Tulare,224.0,79.0
2017-05,Yuba,226.0,10.0
2017-06,Sacramento,223.0,68.0
2017-06,Riverside,223.0,26.0
2017-06,Kern,222.0,16.0
2017-06,Modoc,221.0,42.0
2017-06,Riverside,221.0,27.0
2017-06,Los Angeles,221.0,25.0
2017-06,Kern,220.0,33.0
2017-06,Tehama,220.0,78.0
2017-06,Lassen,220.0,67.0
2017-06,Riverside,220.0,10.0
2017-06,Contra Costa,219.0,20.0
2017-06,Kern,219.0,10.0
2017-06,Butte,218.0,91.0
2017-06,Siskiyou,218.0,46.0
2017-06,Tulare,217.0,339.0
2017-06,Madera,217.0,157.0
2017-06,Kern,214.0,206.0
2017-06,Kern,215.0,35.0
2017-06,Monterey,215.0,14.0
2017-06,Madera,214.0,1431.0
2017-06,Fresno,213.0,186.0
2017-06,Napa,211.0,22.0
2017-06,Monterey,213.0,32.0
2017-06,Fresno,213.0,450.0
2017-06,Fresno,213.0,76.0
2017-06,Tuolumne,213.0,38.0
2017-06,Riverside,211.0,33.0
2017-06,San Diego,211.0,50.0
2017-06,Tulare,211.0,135.0
2017-06,Riverside,211.0,20.0
2017-06,San Luis Obispo,210.0,150.0
2017-06,Mariposa,209.0,63.0
2017-06,Riverside,209.0,105.0
2017-06,Riverside,209.0,28.0
2017-06,Butte,208.0,134.0
2017-06,Riverside,208.0,10.0
2017-06,Monterey,208.0,32.0
2017-06,Los Angeles,207.0,800.0
2017-06,Tehama,206.0,60.0
2017-06,Riverside,206.0,10.0
2017-06,Riverside,206.0,153.0
2017-06,Madera,206.0,25.0
2017-06,Kern,206.0,1522.0
2017-06,Riverside,206.0,26.0
2017-06,Siskiyou,206.0,56.0
2017-06,Solano,202.0,39.0
2017-06,San Bernardino,205.0,1503.0
2017-06,Sierra,205.0,168.0
2017-06,Stanislaus,203.0,65.0
2017-06,Santa Clara,203.0,54.0
2017-06,Butte,202.0,21.0
2017-06,Butte,202.0,111.0
2017-06,Fresno,201.0,357.0
2017-06,Tehama,200.0,42.0
2017-06,Tulare,201.0,0.0
2017-06,Los Angeles,199.0,760.0
2017-06,San Diego,199.0,36.0
2017-06,Riverside,198.0,6309.0
2017-06,Siskiyou,198.0,19.0
2017-06,San Luis Obispo,198.0,1598.0
2017-06,Sacramento,197.0,35.0
2017-06,Marin,197.0,38.0
2017-06,San Diego,197.0,25.0
2017-06,San Bernardino,197.0,670.0
2017-06,Del Norte,198.0,28.0
2017-06,Santa Clara,195.0,85.0
2017-06,Monterey,196.0,15.0
2017-06,Modoc,196.0,562.0
2017-06,Mariposa,196.0,630.0
2017-06,San Diego,196.0,0.0
2017-06,Kern,194.0,1200.0
2017-06,Monterey,195.0,42.0
2017-06,Los Angeles,195.0,55.0
2017-06,Los Angeles,195.0,41.0
2017-07,Shasta,193.0,128.0
2017-07,Nevada,192.0,10.0
2017-07,Riverside,192.0,11.0
2017-07,Butte,192.0,14.0
2017-07,Mariposa,192.0,225.0
2017-07,Fresno,192.0,1538.0
2017-07,Riverside,191.0,30.0
2017-07,Riverside,191.0,10.0
2017-07,Riverside,191.0,50.0
2017-07,San Benito,190.0,34.0
2017-07,San Bernardino,190.0,13.0
2017-07,Fresno,190.0,57.0
2017-07,Riverside,190.0,35.0
2017-07,Butte,190.0,18.0
2017-07,Ventura,190.0,50.0
2017-07,Siskiyou,190.0,0.0
2017-07,Riverside,190.0,205.0
2017-07,Tulare,189.0,21.0
2017-07,Siskiyou,189.0,469.0
2017-07,El Dorado,186.0,74.0
2017-07,Stanislaus,186.0,62.0
2017-07,Fresno,189.0,91.0
2017-07,Calaveras,189.0,22.0
2017-07,Yolo,188.0,2269.0
2017-07,Kern,188.0,1626.0
